#,name,Chukar.Occurrence,Galbreath,Chukar.Occurrence.Regression
723,Manson,P,N,1
724,Maple Falls,A,Y,0
725,Maple Valley,A,N,0
726,Marblemount,A,Y,0
727,Marcus,A,Y,0
728,Marengo,P,Y,1
729,Marlin,P,Y,1
730,Marlin SW,P,Y,1
731,Martin Peak,P,Y,1
732,Marysville,A,N,0
733,Mason Lake,A,N,0
734,Matheny Ridge,A,N,0
735,Mathews Corner,P,Y,1
736,Matlock,A,N,0
737,Maxwelton,A,Y,0
738,Mayfield Lake,A,N,0
739,Maytown,A,N,0
740,Mazama,A,Y,0
741,McAlester Mountain,A,N,0
742,McCartney Peak,A,Y,0
743,McCleary,A,N,0
744,McCoy Lake,A,Y,0
745,McCoy Peak,A,N,0
746,McDonald Spring,P,Y,1
747,McGregor Mountain,A,N,0
748,McKays Butte,A,Y,0
749,McKenna,A,N,0
750,McLeod Mountain,A,Y,0
751,McMurray,A,Y,0
752,McNeil Island,A,Y,0
753,Mead,A,Y,0
754,Meadow Mountain,A,N,0
755,Medical Lake,A,Y,0
756,Medicine Valley,A,Y,0
757,Meeks Table,A,Y,0
758,Menlo,A,N,0
759,Mesa East,P,Y,1
760,Mesa West,P,Y,1
761,Metaline,A,Y,0
762,Metaline Falls,A,Y,0
763,Methow,P,Y,1
764,Mica Mountain,P,Y,1
765,Mica Peak,A,Y,0
766,Midnight Mountain,A,Y,0
767,Milk Canyon,A,Y,0
768,Miller Mountain,A,N,0
769,Mineral,A,N,0
770,Mission Peak,P,N,1
771,Moclips,A,N,0
772,Mold,P,Y,1
773,Molson,A,Y,0
774,Mondovi,A,Y,0
775,Monitor,P,N,1
776,Monroe,A,N,0
777,Monse,P,Y,1
778,Monte Cristo,A,N,0
779,Montesano,A,N,0
780,Monument Hill,P,Y,1
781,Monumental Mountain,A,N,0
782,Monumental Rock,P,Y,1
783,Moon Mountain,A,N,0
784,Morse Creek,A,Y,0
785,Morton,A,N,0
786,Moscow West,P,N,1
787,Moses Lake North,P,Y,1
788,Moses Lake NW,P,Y,1
789,Moses Lake South,P,Y,1
790,Moses Meadows,P,Y,1
791,Moses Mountain,P,Y,1
792,Mossyrock,A,N,0
793,Mount Adams East,A,N,0
794,Mount Adams West,A,N,0
795,Mount Angeles,A,Y,0
796,Mount Annie,A,Y,0
797,Mount Arriva,A,Y,0
798,Mount Baker,A,Y,0
799,Mount Barney,P,Y,1
800,Mount Blum,A,Y,0
801,Mount Bonaparte,A,Y,0
802,Mount Brynion,A,N,0
803,Mount Carrie,A,Y,0
804,Mount Challenger,A,Y,0
805,Mount Christie,A,N,0
806,Mount Clifty,A,Y,0
807,Mount Daniel,A,N,0
808,Mount David,A,N,0
809,Mount Deception,A,N,0
810,Mount Defiance,A,N,0
811,Mount Higgins,A,Y,0
812,Mount Hoquiam,A,N,0
813,Mount Howard,A,N,0
814,Mount Hull,P,Y,1
815,Mount Jupiter,A,N,0
816,Mount Kit Carson,A,Y,0
817,Mount Lago,A,Y,0
818,Mount Larrabee,A,Y,0
819,Mount Leona,A,N,0
820,Mount Logan,A,Y,0
821,Mount Lyall,A,N,0
822,Mount Mitchell,A,N,0
823,Mount Muller,A,Y,0
824,Mount Olson,A,N,0
825,Mount Olympus,A,N,0
826,Mount Phelps,A,N,0
827,Mount Prophet,A,Y,0
828,Mount Queets,A,N,0
829,Mount Rainier East,A,N,0
830,Mount Rainier West,A,Y,0
831,Mount Redoubt,A,Y,0
832,Mount Saint Helens,A,N,0
833,Mount Sefrit,A,Y,0
834,Mount Shuksan,A,Y,0
835,Mount Si,A,N,0
836,Mount Skokomish,A,N,0
837,Mount Spickard,A,Y,0
838,Mount Spokane,A,Y,0
839,Mount Steel,A,N,0
840,Mount Stickney,A,N,0
841,Mount Stuart,P,Y,1
842,Mount Tabor,A,N,0
843,Mount Tebo,A,N,0
844,Mount Tom,A,N,0
845,Mount Townsend,A,N,0
846,Mount Triumph,A,Y,0
847,Mount Vernon,A,Y,0
848,Mount Walker,A,N,0
849,Mount Washington,A,N,0
850,Mount Wow,A,Y,0
851,Mount Zion,A,Y,0
852,Mountain View,P,Y,1
853,Mowich Lake,A,Y,0
854,Mud Spring,P,Y,1
855,Mukilteo,A,N,0
856,Multnomah Falls,A,N,0
857,Naches,A,Y,0
858,Nagrom,A,N,0
859,Nahwatzel Lake,A,N,0
860,Naneum Canyon,P,Y,1
861,Napavine,A,N,0
862,Nassa Point,A,N,0
863,Neah Bay,A,Y,0
864,Nelson Peak,A,Y,0
865,Nemah,A,N,0
866,Nespelem,A,Y,0
867,Nespelem NE,A,N,0
868,New London,A,N,0
869,Newaukum Lake,A,N,0
870,Newman Lake,A,Y,0
871,Newport,A,N,0
872,Nighthawk,P,Y,1
873,Nile,A,Y,0
874,Nine Canyon,P,Y,1
875,Nine Mile Falls,A,Y,0
876,Ninemile Flat,A,N,0
877,Nisqually,A,Y,0
878,Noble Knob,A,Y,0
879,Nordland,A,N,0
880,Norse Peak,A,Y,0
881,North Baldy,A,N,0
882,North Bend,A,N,0
883,North Cove,A,N,0
884,North Nemah,A,N,0
885,Northport,A,Y,0
886,Northwestern Lake,A,Y,0
887,O'Sullivan Dam,P,Y,1
888,O'Took Prairie,A,N,0
889,Oak Harbor,A,Y,0
890,Oak Point,A,N,0
891,Oakesdale,A,Y,0
892,Oakville,A,N,0
893,Ocean Park,A,N,0
894,Odessa,P,Y,1
895,Ohanapecosh Hot Springs,A,N,0
896,Okanogan,P,Y,1
897,Olalla,A,N,0
898,Old Baldy,P,Y,1
899,Old Baldy Mountain,A,Y,0
900,Old Scab Mountain,A,Y,0
901,Old Snowy Mountain,A,N,0
902,Olsen Canyon,A,Y,0
903,Omak,P,Y,1
904,Omak Lake,P,Y,1
905,Omak Mountain,P,Y,1
906,Oman Ranch,A,N,0
907,Omans,A,Y,0
908,Onalaska,A,N,0
909,Onalaska NW,A,N,0
910,Onion Creek,A,Y,0
911,Orchards,A,Y,0
912,Oregon Butte,P,Y,1
913,Orient,A,N,0
914,Orondo,P,Y,1
915,Oroville,P,Y,1
916,Orting,A,Y,0
917,Orwig Hump,A,N,0
918,Oso,A,Y,0
919,Oss Peak,P,N,1
920,Othello,P,Y,1
921,Outlet Falls,A,Y,0
922,Oval Peak,A,Y,0
923,Owl Mountain,A,N,0
924,Oysterville,A,N,0
925,Ozette,A,Y,0
926,Pacific Lake,P,Y,1
927,Packwood,A,N,0
928,Packwood Lake,A,N,0
929,Page,P,Y,1
930,Palisades,P,Y,1
931,Palm Lake,A,Y,0
932,Palouse,A,Y,0
933,Palouse Falls,P,Y,1
934,Panjab Creek,P,Y,1
935,Paradise,P,N,1
936,Park Lake,P,Y,1
937,Park Rapids,A,Y,0
938,Pasayten Peak,A,Y,0
939,Pasco,P,Y,1
940,Pass Creek,A,Y,0
941,Pateros,P,Y,1
942,Paterson,P,Y,1
943,Pe Ell,A,N,0
944,Pearrygin Peak,P,Y,1
945,Peola,P,Y,1
946,Peshastin,P,N,1
947,Petersburg,A,N,0
948,Phinny Hill,A,Y,0
949,Piersol Hills,P,Y,1
950,Pine City,A,Y,0
951,Pine Mountain,A,Y,0
952,Pinegrass Ridge,A,Y,0
953,Ping,P,Y,1
954,Pinkham Butte,P,Y,1
955,Pinnacle Mountain,A,N,0
956,Piscoe Meadow,A,Y,0
957,Pizarro,P,Y,1
958,Plain,P,N,1
959,Plaza,A,Y,0
960,Pleasant View,P,Y,1
961,Pluvius,A,N,0
962,Poe Mountain,A,N,0
963,Point Brown,A,N,0
964,Poisel Butte,A,Y,0
965,Poisel Butte NW,A,Y,0
966,Poisel Butte SE,A,Y,0
967,Poisel Butte SW,A,Y,0
968,Polallie Ridge,A,Y,0
969,Poland Butte,A,Y,0
970,Pomeroy,P,Y,1
971,Pomona,A,Y,0
972,Port Angeles,A,Y,0
973,Port Gamble,A,N,0
974,Port Ludlow,A,N,0
975,Port Townsend North,A,N,0
976,Port Townsend South,A,N,0
977,Portland,A,N,0
978,Potter Hill,P,Y,1
979,Poulsbo,A,N,0
980,Poverty Bay,A,N,0
981,Prairie Mountain,A,Y,0
982,Prescott,P,Y,1
983,Prices Peak,A,N,0
984,Priest Rapids,P,Y,1
985,Priest Rapids NE,P,Y,1
986,Prince Creek,A,N,0
987,Prior Ranch,P,Y,1
988,Prosser,P,Y,1
989,Prosser SE,P,Y,1
990,Prosser SW,A,Y,0
991,Providence,P,Y,1
992,Pugh Mountain,A,N,0
993,Pullman,A,Y,0
994,Pumpkin Mountain,A,Y,0
995,Purcell Mountain,A,N,0
996,Puyallup,A,Y,0
997,Pyramid Mountain,P,N,1
998,Pysht,A,Y,0
999,Quartz Creek Butte,A,N,0
1000,Quartz Mountain,A,Y,0
1001,Queets,A,N,0
1002,Quigley Butte,A,Y,0
1003,Quilcene,A,N,0
1004,Quillayute Prairie,A,Y,0
1005,Quincy,P,Y,1
1006,Quinton,A,N,0
1007,Railroad Camp,A,N,0
1008,Rainbow Falls,A,N,0
1009,Rainier,A,N,0
1010,Ralston,P,Y,1
1011,Randle,A,N,0
1012,Rat Lake,P,Y,1
1013,Rattlesnake Canyon,P,Y,1
1014,Rattlesnake Springs,P,Y,1
1015,Raven Roost,A,N,0
1016,Raymond,A,N,0
1017,Reade Hill,A,Y,0
1018,Reardan East,A,Y,0
1019,Reardan West,A,Y,0
1020,Red Top Mountain,P,Y,1
1021,Reecer Canyon,P,Y,1
1022,Reiman,P,Y,1
1023,Reiman SE,P,Y,1
1024,Reiman SW,P,Y,1
1025,Remmel Mountain,P,Y,1
1026,Rendevous Mountain,P,Y,1
1027,Renton,A,N,0
1028,Republic,A,N,0
1029,Revere,A,Y,0
1030,Rice,A,Y,0
1031,Richardson,A,Y,0
1032,Richland,P,Y,1
1033,Ridgefield,A,Y,0
1034,Riley Lake,A,N,0
1035,Rimrock Lake,A,Y,0
1036,Ring,P,N,1
1037,Ritzville NE,P,Y,1
1038,Ritzville NW,P,Y,1
1039,Ritzville SE,P,Y,1
1040,Ritzville SW,P,Y,1
1041,Riverland,P,Y,1
1042,Riverside,P,Y,1
1043,Robinette Mountain,P,Y,1
1044,Robinson Mountain,A,Y,0
1045,Roche Harbor,A,Y,0
1046,Rochester,A,N,0
1047,Rock Island,P,Y,1
1048,Rock Island Dam,P,Y,1
1049,Rock Lake,A,Y,0
1050,Rocklyn,A,Y,0
1051,Rocklyn SE,A,Y,0
1052,Rocklyn SW,A,Y,0
1053,Rockpile Creek,P,Y,1
1054,Rockport,A,Y,0
1055,Rocky Reach Dam,P,N,1
1056,Ronald,A,Y,0
1057,Rosalia,A,Y,0
1058,Rosburg,A,N,0
1059,Rose Springs,P,Y,1
1060,Ross Dam,A,Y,0
1061,Roxboro,P,Y,1
1062,Royal Camp,P,Y,1
1063,Royal City,P,Y,1
1064,Ruby,A,N,0
1065,Ruby Hill,P,Y,1
1066,Ruff,P,Y,1
1067,Rufus,A,N,0
1068,Rulo,P,Y,1
1069,Rye Grass Coulee,P,Y,1
1070,Sacheen Lake,A,N,0
1071,Saddle Butte,P,Y,1
1072,Sagebrush Flat,P,Y,1
1073,Sagebrush Ridge,A,Y,0
1074,Saint Andrews,P,Y,1
1075,Saint Helens,A,N,0
1076,Saint John,A,N,0
1077,Salmo Mountain,A,N,0
1078,Salmon River East,A,N,0
1079,Salmon River West,A,N,0
1080,Sanderson Creek,P,Y,1
1081,Saska Peak,A,N,0
1082,Sassin,A,Y,0
1083,Satus Pass,A,Y,0
1084,Sauk Mountain,A,Y,0
1085,Sauvie Island,A,N,0
1086,Savage Island,P,Y,1
1087,Sawtooth Ridge,A,N,0
1088,Scenic,A,N,0
1089,Schaefer Lake,P,N,1
1090,Schoonover,P,Y,1
1091,Schrag,P,Y,1
1092,Scooteney Reservoir,P,Y,1
1093,Scotchman Lake,A,N,0
1094,Seabeck,A,N,0
1095,Sedro-Woolley North,A,Y,0
1096,Sedro-Woolley South,A,Y,0
1097,Sekiu River,A,Y,0
1098,Selah,A,Y,0
1099,Selah Springs,A,Y,0
1100,Sequim,A,Y,0
1101,Setters,A,N,0
1102,Seventeenmile Mountain,A,N,0
1103,Shale Slough,A,N,0
1104,Shano,P,Y,1
1105,Shaw Island,A,Y,0
1106,Shelton,A,N,0
1107,Shelton Valley,A,N,0
1108,Sherman Peak,A,N,0
1109,Shuksan Arm,A,Y,0
1110,Shull Mountain,A,Y,0
1111,Sieler,P,Y,1
1112,Signal Peak,A,Y,0
1113,Silcott Island,P,Y,1
1114,Silver Falls,P,N,1
1115,Silver Lake,A,N,0
1116,Silver Star Mountain,A,Y,0
1117,Silverton,A,N,0
1118,Sims Corner,P,Y,1
1119,Siouxon Peak,A,N,0
1120,Sitdown Mountain,A,N,0
1121,Skagit Peak,A,Y,0
1122,Skamokawa,A,N,0
1123,Skamokawa Pass,A,N,0
1124,Skokomish Valley,A,N,0
1125,Skookum Creek,A,N,0
1126,Skykomish,A,N,0
1127,Slate Peak,A,Y,0
1128,Slater,P,Y,1
1129,Sleeping Beauty,A,N,0
1130,Slide Peak,A,Y,0
1131,Sloan Peak,A,N,0
1132,Smeltz,P,N,1
1133,Smith Creek Butte,A,N,0
1134,Smyrna,P,Y,1
1135,Snake River,P,Y,1
1136,Snider Peak,A,Y,0
1137,Snipes Creek,P,Y,1
1138,Snively Basin,P,Y,1
1139,Snohomish,A,N,0
1140,Snoqualmie,A,N,0
1141,Snoqualmie Lake,A,N,0
1142,Snoqualmie Pass,A,N,0
1143,Snowking Mountain,A,Y,0
1144,Soap Lake,P,Y,1
1145,Soda Lake,P,Y,1
1146,Sonny Boy Lakes,A,Y,0
1147,South Bend,A,N,0
1148,South Elma,A,N,0
1149,South Huckleberry Mountain,A,N,0
1150,South Navarre Peak,P,N,1
1151,Spanaway,A,Y,0
1152,Spangle East,A,Y,0
1153,Spangle West,A,Y,0
1154,Spencer Butte,A,N,0
1155,Sperry,P,Y,1
1156,Spiral Butte,A,Y,0
1157,Spirit,A,Y,0
1158,Spirit Lake East,A,N,0
1159,Spirit Lake West,A,N,0
1160,Spokane NE,A,Y,0
1161,Spokane NW,A,Y,0
1162,Spokane SE,A,Y,0
1163,Spokane SW,A,Y,0
1164,Sprague,A,Y,0
1165,Sprague Lake,A,Y,0
1166,Sprague Lake NE,A,Y,0
1167,Sprague Lake SW,A,Y,0
1168,Spring Valley,A,Y,0
1169,Springdale,A,Y,0
1170,Spruce Mountain,A,N,0
1171,Spur Peak,P,Y,1
1172,Stabler,A,N,0
1173,Stacker Butte,A,Y,0
1174,Stagman Butte,A,Y,0
1175,Stampede Pass,A,Y,0
1176,Stanwood,A,N,0
1177,Starbuck East,P,Y,1
1178,Starbuck West,P,Y,1
1179,Steamboat Mountain,A,N,0
1180,Steamboat Rock SE,P,N,1
1181,Steamboat Rock SW,P,N,1
1182,Stehekin,A,N,0
1183,Steilacoom,A,Y,0
1184,Stember Creek,P,Y,1
1185,Stensgar Mountain,A,Y,0
1186,Stentz Spring,P,Y,1
1187,Stepstone Creek,A,Y,0
1188,Steptoe,A,Y,0
1189,Stequaleho Creek,A,N,0
1190,Stevens Creek,A,N,0
1191,Stevens Pass,A,N,0
1192,Stimson Hill,A,Y,0
1193,Storm King Mountain,A,N,0
1194,Stormy Mountain,P,N,1
1195,Stratford,P,Y,1
1196,Strawberry Mountain,A,Y,0
1197,Stray Gulch,P,Y,1
1198,Stubblefield Point,P,Y,1
1199,Sugarloaf Peak,P,N,1
1200,Suiattle Pass,A,N,0
1201,Sullivan Lake,P,Y,1
1202,Sulphur Lake,P,Y,1
1203,Sulphur Spring,P,Y,1
1204,Sultan,A,N,0
1205,Sumas,A,Y,0
1206,Summit Lake,A,N,0
1207,Sumner,A,Y,0
1208,Sun Mountain,A,N,0
1209,Sun Top,A,Y,0
1210,Sundale,A,N,0
1211,Sundale NW,A,N,0
1212,Sunnyside,A,Y,0
1213,Sunrise,A,Y,0
1214,Suquamish,A,N,0
1215,Swan Lake,A,N,0
1216,Swanson Lakes,P,Y,1
1217,Swauk Prairie,P,Y,1
1218,Sweetgrass Butte,A,Y,0
1219,Sweigiler Creek,A,N,0
1220,Sylvan Lake,P,Y,1
1221,Synarep,P,Y,1
1222,Tacoma North,A,Y,0
1223,Tacoma Peak,A,N,0
1224,Tacoma South,A,Y,0
1225,Taholah,A,N,0
1226,Tampico,A,Y,0
1227,Taneum Canyon,A,Y,0
1228,Tanner Butte,A,N,0
1229,Tanwax Lake,A,Y,0
1230,Tatoosh Buttes,A,Y,0
1231,Tatoosh Lakes,A,N,0
1232,Taunton,P,Y,1
1233,Taylor Canyon,P,Y,1
1234,Teanaway,P,Y,1
1235,Teanaway Butte,A,Y,0
1236,Teepee Butte,P,N,1
1237,Tekoa,A,Y,0
1238,Tekoa Mountain,A,Y,0
1239,Telford,A,Y,0
1240,Tenalquot Prairie,A,N,0
1241,Termination Point,A,N,0
1242,Texas Lake,A,Y,0
1243,The Brothers,A,N,0
1244,The Cottonwoods,A,Y,0
1245,The Cradle,A,N,0
1246,The Dalles North,A,N,0
1247,The Dalles South,A,N,0
1248,The Pothole,P,Y,1
1249,The Rockies,A,N,0
1250,Thera,A,Y,0
1251,Thimble Mountain,A,N,0
1252,Thirteenmile Creek,A,N,0
1253,Thompson Ridge,A,Y,0
1254,Thornton,A,Y,0
1255,Thorp,P,Y,1
1256,Thrapp Mountain,P,Y,1
1257,Tieton,A,Y,0
1258,Tieton Basin,A,Y,0
1259,Tiffany Mountain,P,Y,1
1260,Timber Mountain,A,N,0
1261,Timberwolf Mountain,A,Y,0
1262,Tiptop,P,N,1
1263,Toleak Point,A,N,0
1264,Toledo,A,N,0
1265,Tonasket,P,Y,1
1266,Toppenish,A,Y,0
1267,Toppenish Mountain,A,Y,0
1268,Toppenish SW,A,Y,0
1269,Toroda,A,N,0
1270,Touchet,P,Y,1
1271,Toutle,A,N,0
1272,Toutle Mountain,A,N,0
1273,Tower Rock,A,N,0
1274,Trefry Canyon,P,Y,1
1275,Trinity,A,N,0
1276,Trout Lake,A,N,0
1277,Troy,P,N,1
1278,Tucannon,P,Y,1
1279,Tulalip,A,N,0
1280,Tule Prong,A,Y,0
1281,Tumtum,A,Y,0
1282,Tumwater,A,N,0
1283,Tunk Mountain,P,Y,1
1284,Tunnel Island,A,N,0
1285,Turner,P,Y,1
1286,Turtle Lake,A,Y,0
1287,Tweedie,A,N,0
1288,Twin Buttes,A,Y,0
1289,Twin Lakes,A,N,0
1290,Twin Rivers,A,Y,0
1291,Twin Sisters Mountain,A,Y,0
1292,Twisp East,P,Y,1
1293,Twisp West,P,Y,1
1294,Tyee Mountain,P,N,1
1295,Tyler,A,Y,0
1296,Tyler Peak,A,Y,0
1297,Umatilla,P,N,1
1298,Umbrella Creek,A,Y,0
1299,Uncas,A,N,0
1300,Union,A,N,0
1301,Uniontown,P,Y,1
1302,Upper Naselle River,A,N,0
1303,Utsalady,A,Y,0
1304,Vail,A,N,0
1305,Valley,A,Y,0
1306,Valley Grove,P,Y,1
1307,Van Creek,P,N,1
1308,Vance Creek,A,N,0
1309,Vancouver,A,Y,0
1310,Vanson Peak,A,N,0
1311,Vantage,P,Y,1
1312,Vashon,A,N,0
1313,Vaughn,A,Y,0
1314,Verlot,A,N,0
1315,Vernita Bridge,P,Y,1
1316,Viola,A,N,0
1317,Violet Prairie,A,N,0
1318,Vulcan Mountain,A,N,0
1319,Wades Bar,P,Y,1
1320,Wagner Lake,P,Y,1
1321,Wahatis Peak,P,Y,1
1322,Wahkiacus,A,Y,0
1323,Wahpenayo Peak,A,N,0
1324,Waitsburg,P,Y,1
1325,Waitsburg NW,P,Y,1
1326,Waitts Lake,A,Y,0
1327,Walla Walla,P,Y,1
1328,Wallace Lake,A,N,0
1329,Wallula,P,Y,1
1330,Walupt Lake,A,N,0
1331,Wapato,A,Y,0
1332,Warden,P,Y,1
1333,Warrenton,A,N,0
1334,Washington Pass,A,Y,0
1335,Washougal,A,Y,0
1336,Washtucna North,P,Y,1
1337,Washtucna South,P,Y,1
1338,Waterman,P,N,1
1339,Waterville,P,Y,1
1340,Wauconda Summit,A,Y,0
1341,Waukon,A,Y,0
1342,Webber Canyon,P,Y,1
1343,Weber,P,Y,1
1344,Weddle Canyon,A,Y,0
1345,Weissenfels Ridge,P,Y,1
1346,Welker Peak,A,Y,0
1347,Welland,P,Y,1
1348,Wellesley Peak,A,N,0
1349,Wellington Peak,A,Y,0
1350,Wellpinit,A,Y,0
1351,Wells Dam,P,Y,1
1352,Wenaha Forks,P,N,1
1353,Wenas Lake,A,Y,0
1354,Wenatchee,P,N,1
1355,Wenatchee Heights,P,N,1
1356,West Bar,P,Y,1
1357,West of Paterson,P,N,1
1358,West of Pysht,A,Y,0
1359,West of Washtucna,P,Y,1
1360,Western,A,N,0
1361,Westport,A,N,0
1362,Wheeler,P,Y,1
1363,Wheeler NE,P,Y,1
1364,Whiskey Dick Mountain,P,Y,1
1365,White Chuck Mountain,A,N,0
1366,White Lakes,P,Y,1
1367,White Mud Lake,A,Y,0
1368,White Pass,A,N,0
1369,White Pine Buttes,A,Y,0
1370,White River Park,A,Y,0
1371,White Salmon,A,N,0
1372,White Swan,A,Y,0
1373,Whitehorse Mountain,A,N,0
1374,Whitestone Rock,A,N,0
1375,Whitstran,P,Y,1
1376,Whitstran NE,P,Y,1
1377,Whitstran SE,P,Y,1
1378,Wilbur,A,Y,0
1379,Wilcox,A,Y,0
1380,Wildcat Lake,A,N,0
1381,Wildwood,A,N,0
1382,Wiley City,A,Y,0
1383,Wilkeson,A,Y,0
1384,Willard,A,N,0
1385,Willy Dick Canyon,A,Y,0
1386,Wilson Creek,P,Y,1
1387,Wilson Creek NW,P,Y,1
1388,Wilson Creek SE,P,Y,1
1389,Wilson Creek SW,P,Y,1
1390,Winchester,P,Y,1
1391,Winchester NE,P,Y,1
1392,Winchester Peak,A,N,0
1393,Winchester SE,P,Y,1
1394,Winchester SW,P,Y,1
1395,Windy Point,A,Y,0
1396,Winesap,P,N,1
1397,Winfield Creek,A,N,0
1398,Winlock,A,N,0
1399,Winona,A,Y,0
1400,Winters Mountain,A,N,0
1401,Winthrop,P,Y,1
1402,Winton,P,N,1
1403,Wishram,A,Y,0
1404,Withrow,P,Y,1
1405,Wolf Point,A,N,0
1406,Wood Gulch,A,Y,0
1407,Wooded Island,P,Y,1
1408,Woodland,A,N,0
1409,Woolford Creek,A,N,0
1410,Wymer,P,Y,1
1411,Wynoochee Lake,A,N,0
1412,Wynoochee Valley NE,A,N,0
1413,Wynoochee Valley NW,A,N,0
1414,Wynoochee Valley SW,A,N,0
1415,Yacolt,A,Y,0
1416,Yakima East,A,Y,0
1417,Yakima West,A,Y,0
1418,Yale Dam,A,Y,0
1419,Yesmowit Canyon,A,Y,0
1420,Zangar Junction,P,Y,1
1421,Zumwalt,P,Y,1